Manufacturer,Category,GPU,OS,CPU_core,Screen_Size_inches,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_pounds,Price,Price-binned,Screen-Full_HD,Screen-IPS_pane
Dell,5,3,1,7,15.0,0.9310344827586208,16,256,4.775085,2509,Medium,False,True
Lenovo,3,2,1,5,14.0,0.8620689655172414,8,256,3.6308249999999997,1709,Medium,True,False
Lenovo,3,3,1,7,15.600000000000001,1.0,8,256,5.875335,2655,Medium,True,False
Dell,4,2,1,5,15.600000000000001,0.5517241379310345,8,256,3.12471,2340,Medium,True,False
Dell,5,3,1,7,15.600000000000001,0.9655172413793103,8,256,3.91689,3059,High,True,False
Toshiba,3,2,1,5,13.000000000000002,0.8620689655172414,8,256,2.310525,2124,Medium,False,True
HP,3,2,1,5,13.000000000000002,0.5517241379310345,4,128,3.278745,922,Low,False,True
Lenovo,3,2,1,5,14.0,0.5517241379310345,8,256,3.850875,1333,Low,False,True
Lenovo,3,3,1,5,15.0,0.8620689655172414,8,256,5.06115,1286,Low,False,True
Lenovo,3,2,1,7,15.600000000000001,0.6206896551724138,8,256,4.775085,1142,Low,True,False
Lenovo,3,2,1,3,13.000000000000002,0.8275862068965517,8,256,3.0806999999999998,1206,Low,False,True
Lenovo,3,2,1,5,15.0,0.8620689655172414,8,256,5.06115,1157,Low,False,True
Lenovo,3,2,1,5,13.299999999999999,0.8620689655172414,8,256,3.1687199999999995,1206,Low,True,False
Dell,4,2,1,5,13.299999999999999,0.8620689655172414,8,128,2.838645,1142,Low,False,True
HP,3,3,1,5,15.600000000000001,0.8620689655172414,8,256,4.48902,1129,Low,True,False
HP,4,2,1,7,13.000000000000002,0.9310344827586208,8,256,2.90466,1777,Medium,False,True
Dell,3,2,1,5,14.0,0.896551724137931,8,256,3.6088199999999997,1626,Medium,True,False
Lenovo,3,2,1,5,14.0,0.793103448275862,8,256,4.44501,1702,Medium,True,False
Dell,3,2,1,5,15.600000000000001,0.9655172413793103,8,256,4.180949999999999,1749,Medium,True,False
Dell,3,3,1,7,15.600000000000001,0.9655172413793103,8,256,4.246964999999999,1739,Medium,True,False
Dell,3,1,1,5,15.600000000000001,0.5517241379310345,8,256,4.8411,1013,Low,True,False
Lenovo,3,3,1,7,14.0,0.9310344827586208,8,256,4.114935,1091,Low,False,True
Dell,3,2,1,3,14.0,0.6896551724137931,4,128,3.5208,935,Low,True,False
HP,3,2,1,3,15.600000000000001,0.8275862068965517,4,128,4.62105,896,Low,True,False
Lenovo,3,2,1,3,15.600000000000001,0.6896551724137931,4,128,4.8411,634,Low,True,False
Dell,3,2,1,5,15.600000000000001,0.8620689655172414,8,256,4.180949999999999,1419,Low,True,False
Lenovo,3,2,1,3,15.600000000000001,0.9310344827586208,4,128,4.511024999999999,800,Low,True,False
Lenovo,3,3,1,7,17.0,0.9655172413793103,8,256,7.481699999999999,3810,High,False,True
Lenovo,3,2,1,5,15.600000000000001,0.8620689655172414,8,256,5.06115,1054,Low,True,False
Dell,3,1,2,7,15.600000000000001,0.9310344827586208,8,256,4.8411,951,Low,True,False
HP,3,2,1,3,13.299999999999999,0.8275862068965517,4,128,3.278745,913,Low,True,False
Dell,3,3,1,7,15.600000000000001,0.9655172413793103,16,256,4.246964999999999,1953,Medium,True,False
Lenovo,4,2,1,7,14.0,0.896551724137931,12,256,3.0806999999999998,2125,Medium,False,True
Lenovo,3,2,1,5,14.0,0.8620689655172414,8,256,3.7408499999999996,1872,Medium,False,True
Dell,5,3,1,7,15.600000000000001,0.9655172413793103,8,256,4.53303,2240,Medium,True,False
HP,3,2,1,7,15.600000000000001,0.9310344827586208,8,256,4.04892,1548,Low,True,False
Toshiba,3,2,1,7,15.0,0.8620689655172414,8,256,4.8411,1777,Medium,False,True
Dell,3,1,2,5,15.600000000000001,0.8620689655172414,4,128,4.79709,723,Low,True,False
Lenovo,3,2,1,5,14.0,0.793103448275862,8,256,3.6308249999999997,1861,Medium,True,False
Dell,3,3,1,7,15.600000000000001,0.9655172413793103,8,256,4.401,2312,Medium,True,False
Lenovo,3,2,1,5,15.600000000000001,0.5517241379310345,4,256,3.9609,1053,Low,True,False
Acer,4,2,1,5,14.0,0.8620689655172414,8,256,3.9609,1167,Low,False,True
Razer,1,3,1,7,14.0,0.9655172413793103,16,256,4.2909749999999995,3301,High,True,False
Toshiba,3,2,1,5,13.299999999999999,0.793103448275862,8,256,2.6405999999999996,1541,Low,True,False
Lenovo,4,2,1,7,12.0,0.9310344827586208,8,256,2.99268,2012,Medium,False,True
Dell,4,2,1,5,13.299999999999999,0.5517241379310345,8,256,2.6405999999999996,1842,Medium,True,False
Dell,3,1,1,7,15.600000000000001,0.6206896551724138,8,256,4.8411,1167,Low,True,False
Dell,3,2,1,5,14.0,0.8275862068965517,8,256,3.43278,1561,Low,True,False
Toshiba,3,2,1,5,15.0,0.8620689655172414,8,256,4.401,1598,Low,False,True
Asus,4,2,1,5,14.0,0.8620689655172414,8,256,2.42055,1442,Low,True,False
Acer,1,3,1,5,15.600000000000001,0.8620689655172414,16,256,5.50125,1650,Medium,True,False
MSI,1,3,1,5,15.600000000000001,0.8620689655172414,8,256,4.8411,1268,Low,True,False
HP,3,1,1,3,17.0,0.6896551724137931,4,256,5.50125,888,Low,False,True
Lenovo,3,2,1,5,14.0,0.8620689655172414,4,256,3.7408499999999996,888,Low,True,False
Toshiba,3,2,1,5,13.000000000000002,0.8620689655172414,8,256,3.30075,1236,Low,False,True
Dell,3,2,1,5,15.600000000000001,0.8620689655172414,8,256,4.79709,1010,Low,True,False
Lenovo,3,2,1,5,14.0,0.793103448275862,8,256,3.9609,1513,Low,True,False
Dell,3,3,2,5,14.0,0.9655172413793103,8,256,3.6088199999999997,1383,Low,True,False
Lenovo,3,3,1,5,14.0,0.8620689655172414,8,256,4.114935,1089,Low,False,True
Dell,3,2,1,5,15.600000000000001,0.896551724137931,8,256,4.180949999999999,1498,Low,True,False
HP,3,3,1,7,17.3,0.9310344827586208,8,256,5.7873149999999995,1524,Low,True,False
Lenovo,4,2,1,5,14.0,0.8620689655172414,8,256,2.90466,1904,Medium,False,True
Lenovo,3,2,1,5,13.000000000000002,0.8620689655172414,8,256,3.1687199999999995,1219,Low,False,True
HP,5,3,1,7,15.600000000000001,0.9655172413793103,16,256,5.7213,3073,High,True,False
Toshiba,3,2,1,5,14.0,0.8620689655172414,8,256,2.750625,1950,Medium,False,True
Samsung,4,2,1,7,13.299999999999999,0.9310344827586208,16,256,1.782405,2095,Medium,True,False
HP,3,2,1,3,15.600000000000001,0.6896551724137931,8,256,4.09293,685,Low,True,False
HP,3,2,1,5,15.600000000000001,0.8275862068965517,8,256,4.04892,2414,Medium,True,False
HP,5,3,1,7,15.600000000000001,0.896551724137931,8,256,5.699294999999999,1983,Medium,True,False
Dell,4,2,1,7,12.5,0.9655172413793103,16,256,2.59659,2361,Medium,True,False
Samsung,4,2,1,7,15.600000000000001,0.9310344827586208,8,256,2.882655,2031,Medium,True,False
Dell,3,1,1,7,15.600000000000001,0.9310344827586208,16,256,5.06115,1501,Low,True,False
Acer,3,2,1,3,14.0,0.8275862068965517,4,128,3.9609,808,Low,False,True
Dell,1,3,1,5,15.600000000000001,0.8620689655172414,8,256,5.76531,1251,Low,True,False
Dell,3,1,1,3,15.600000000000001,0.6896551724137931,8,256,4.401,939,Low,True,False
HP,5,3,1,7,15.600000000000001,0.9655172413793103,8,256,6.9095699999999995,2623,Medium,True,False
Asus,3,2,1,5,15.600000000000001,0.8620689655172414,8,256,5.215185,1396,Low,True,False
Dell,4,2,1,5,13.299999999999999,0.8620689655172414,8,256,2.838645,1904,Medium,True,False
Samsung,4,2,1,5,13.299999999999999,0.8620689655172414,8,256,1.782405,1904,Medium,True,False
Dell,3,1,1,5,15.600000000000001,0.8620689655172414,8,256,4.79709,1003,Low,True,False
Lenovo,4,2,1,7,14.0,0.9310344827586208,8,256,2.90466,2361,Medium,True,False
MSI,1,3,1,5,15.600000000000001,0.8620689655172414,8,256,5.281199999999999,1523,Low,True,False
Acer,3,2,1,3,14.0,0.8275862068965517,8,128,3.30075,786,Low,False,True
Lenovo,3,2,1,5,14.0,0.793103448275862,8,256,3.7408499999999996,1507,Low,True,False
Lenovo,3,2,1,5,14.0,0.896551724137931,8,256,2.90466,2096,Medium,False,True
Dell,3,1,1,7,15.600000000000001,0.9310344827586208,4,256,4.79709,939,Low,True,False
Lenovo,4,3,1,7,14.0,0.9655172413793103,8,256,4.31298,2417,Medium,False,True
Asus,3,3,1,7,15.0,0.9310344827586208,8,256,5.06115,1000,Low,False,True
Dell,3,2,1,5,15.600000000000001,0.8620689655172414,8,128,4.180949999999999,1200,Low,True,False
HP,3,1,1,5,15.600000000000001,0.896551724137931,8,256,4.04892,1714,Medium,True,False
Toshiba,3,2,1,5,13.299999999999999,0.8620689655172414,4,128,2.310525,1632,Medium,True,False
Acer,3,2,1,5,14.0,0.8620689655172414,8,256,3.43278,1146,Low,False,True
Toshiba,3,2,1,7,15.0,0.9310344827586208,8,256,4.401,1763,Medium,False,True
Samsung,4,3,1,7,15.0,0.9310344827586208,16,256,2.7066149999999998,2349,Medium,True,False
Dell,4,2,1,7,12.5,0.9655172413793103,8,256,3.5208,2147,Medium,True,False
Xiaomi,4,3,1,5,13.000000000000002,0.793103448275862,8,256,2.81664,1188,Low,False,True
HP,3,2,1,5,15.600000000000001,0.8620689655172414,4,256,4.48902,1066,Low,True,False
HP,3,2,1,5,14.0,0.8620689655172414,4,128,4.2909749999999995,1607,Low,True,False
Samsung,4,2,1,7,15.0,0.9310344827586208,8,256,2.574585,2158,Medium,True,False
Lenovo,4,2,1,5,14.0,0.8620689655172414,8,256,2.90466,2285,Medium,False,True
Toshiba,3,2,1,5,13.299999999999999,0.8620689655172414,8,256,2.310525,1874,Medium,True,False
Dell,3,2,1,5,14.0,0.9655172413793103,8,256,3.5208,1531,Low,True,False
Lenovo,3,3,1,7,15.600000000000001,0.9310344827586208,6,256,4.8411,1002,Low,True,False
HP,3,3,1,7,15.600000000000001,0.9310344827586208,8,256,4.48902,1294,Low,True,False
Lenovo,3,2,1,5,13.299999999999999,0.8620689655172414,4,128,3.1687199999999995,1119,Low,True,False
HP,3,2,1,5,13.299999999999999,0.8620689655172414,8,256,3.278745,1219,Low,True,False
HP,4,1,1,7,15.600000000000001,0.8620689655172414,8,256,4.04892,1648,Medium,True,False
Toshiba,3,3,1,7,15.0,0.896551724137931,16,256,5.281199999999999,2509,Medium,False,True
Lenovo,4,2,1,7,12.0,0.9310344827586208,8,256,2.99268,2096,Medium,False,True
HP,3,2,1,5,15.600000000000001,0.793103448275862,8,256,5.083155,1480,Low,True,False
Toshiba,3,2,1,5,14.0,0.793103448275862,4,128,3.2347349999999997,1404,Low,False,True
HP,2,2,1,5,12.5,0.793103448275862,8,256,2.77263,2120,Medium,True,False
Dell,4,2,1,5,14.0,0.8620689655172414,8,256,2.99268,2082,Medium,True,False
Dell,4,2,1,5,15.600000000000001,0.8620689655172414,8,256,2.99268,1870,Medium,True,False
Dell,4,2,1,7,14.0,0.9655172413793103,8,256,2.99268,2255,Medium,True,False
Toshiba,3,2,1,5,13.299999999999999,0.793103448275862,8,256,2.6405999999999996,1855,Medium,True,False
Lenovo,4,2,1,7,14.0,0.896551724137931,8,256,3.7408499999999996,1891,Medium,False,True
Toshiba,3,2,1,5,13.299999999999999,0.8275862068965517,8,256,2.6405999999999996,1950,Medium,True,False
Lenovo,4,2,1,5,12.0,0.896551724137931,8,256,2.99268,2236,Medium,False,True
Lenovo,3,3,1,5,15.600000000000001,0.8620689655172414,6,256,5.281199999999999,883,Low,True,False
Toshiba,3,2,1,5,14.0,0.793103448275862,8,256,4.2909749999999995,1499,Low,True,False
